"epoch","light-grass-2670 - _step","light-grass-2670 - _step__MIN","light-grass-2670 - _step__MAX","light-grass-2670 - grad_norm_epoch","light-grass-2670 - grad_norm_epoch__MIN","light-grass-2670 - grad_norm_epoch__MAX","hopeful-fire-2669 - _step","hopeful-fire-2669 - _step__MIN","hopeful-fire-2669 - _step__MAX","hopeful-fire-2669 - grad_norm_epoch","hopeful-fire-2669 - grad_norm_epoch__MIN","hopeful-fire-2669 - grad_norm_epoch__MAX","fresh-grass-2668 - _step","fresh-grass-2668 - _step__MIN","fresh-grass-2668 - _step__MAX","fresh-grass-2668 - grad_norm_epoch","fresh-grass-2668 - grad_norm_epoch__MIN","fresh-grass-2668 - grad_norm_epoch__MAX","radiant-disco-2667 - _step","radiant-disco-2667 - _step__MIN","radiant-disco-2667 - _step__MAX","radiant-disco-2667 - grad_norm_epoch","radiant-disco-2667 - grad_norm_epoch__MIN","radiant-disco-2667 - grad_norm_epoch__MAX","ethereal-cosmos-2665 - _step","ethereal-cosmos-2665 - _step__MIN","ethereal-cosmos-2665 - _step__MAX","ethereal-cosmos-2665 - grad_norm_epoch","ethereal-cosmos-2665 - grad_norm_epoch__MIN","ethereal-cosmos-2665 - grad_norm_epoch__MAX","smooth-gorge-2662 - _step","smooth-gorge-2662 - _step__MIN","smooth-gorge-2662 - _step__MAX","smooth-gorge-2662 - grad_norm_epoch","smooth-gorge-2662 - grad_norm_epoch__MIN","smooth-gorge-2662 - grad_norm_epoch__MAX","leafy-sunset-2659 - _step","leafy-sunset-2659 - _step__MIN","leafy-sunset-2659 - _step__MAX","leafy-sunset-2659 - grad_norm_epoch","leafy-sunset-2659 - grad_norm_epoch__MIN","leafy-sunset-2659 - grad_norm_epoch__MAX"
"10","","","","","","","","","","","","","244","244","244","16.176666259765625","16.176666259765625","16.176666259765625","","","","","","","306","306","306","5.836822032928467","5.836822032928467","5.836822032928467","340","340","340","0.1692749559879303","0.1692749559879303","0.1692749559879303","64","64","64","33.519569396972656","33.519569396972656","33.519569396972656"
"11","","","","","","","","","","","","","265","265","265","12.659181594848633","12.659181594848633","12.659181594848633","","","","","","","335","335","335","3.6206138134002686","3.6206138134002686","3.6206138134002686","","","","","","","71","71","71","28.601295471191406","28.601295471191406","28.601295471191406"
"12","","","","","","","","","","","","","288","288","288","9.86685562133789","9.86685562133789","9.86685562133789","","","","","","","","","","","","","","","","","","","78","78","78","24.167675018310547","24.167675018310547","24.167675018310547"
"13","","","","","","","","","","","","","309","309","309","9.054007530212402","9.054007530212402","9.054007530212402","","","","","","","","","","","","","","","","","","","83","83","83","15.518397331237793","15.518397331237793","15.518397331237793"
"14","","","","","","","","","","","","","332","332","332","3.896993637084961","3.896993637084961","3.896993637084961","","","","","","","","","","","","","","","","","","","90","90","90","24.246875762939453","24.246875762939453","24.246875762939453"
"15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95","95","95","11.509932518005371","11.509932518005371","11.509932518005371"
"16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102","102","102","4.334063529968262","4.334063529968262","4.334063529968262"
"17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","107","107","3.305443525314331","3.305443525314331","3.305443525314331"
"18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114","114","114","1.9948891401290894","1.9948891401290894","1.9948891401290894"
"19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","119","119","1.6497859954833984","1.6497859954833984","1.6497859954833984"
"20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126","126","126","1.4258521795272827","1.4258521795272827","1.4258521795272827"
"21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","131","131","131","1.6989091634750366","1.6989091634750366","1.6989091634750366"
"22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","138","138","2.4362194538116455","2.4362194538116455","2.4362194538116455"
"23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","143","143","1.4230427742004395","1.4230427742004395","1.4230427742004395"
"24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","150","150","1.0520533323287964","1.0520533323287964","1.0520533323287964"
"25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157","157","157","0.8541054725646973","0.8541054725646973","0.8541054725646973"
"26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","162","162","0.8230926990509033","0.8230926990509033","0.8230926990509033"
"27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169","169","169","1.4957308769226074","1.4957308769226074","1.4957308769226074"
"28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174","174","174","0.7634105086326599","0.7634105086326599","0.7634105086326599"
"29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181","181","181","2.7304980754852295","2.7304980754852295","2.7304980754852295"
"30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186","186","186","0.7144327759742737","0.7144327759742737","0.7144327759742737"
"31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193","193","193","1.92877197265625","1.92877197265625","1.92877197265625"
"32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198","198","198","0.613721489906311","0.613721489906311","0.613721489906311"
"33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205","205","205","0.957875669002533","0.957875669002533","0.957875669002533"
"34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","210","210","0.6763268709182739","0.6763268709182739","0.6763268709182739"
"35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","217","217","217","0.6507677435874939","0.6507677435874939","0.6507677435874939"
"36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222","222","222","2.0223617553710938","2.0223617553710938","2.0223617553710938"
"37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229","229","229","5.444870471954346","5.444870471954346","5.444870471954346"
"38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236","236","236","0.440473735332489","0.440473735332489","0.440473735332489"
"39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241","241","241","0.6430352330207825","0.6430352330207825","0.6430352330207825"
"40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248","248","248","0.5246206521987915","0.5246206521987915","0.5246206521987915"
"41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253","253","253","0.6024848222732544","0.6024848222732544","0.6024848222732544"
"42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260","260","260","0.3865925669670105","0.3865925669670105","0.3865925669670105"
"43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265","265","265","0.44848573207855225","0.44848573207855225","0.44848573207855225"
"44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","272","272","0.5931187868118286","0.5931187868118286","0.5931187868118286"
"45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","277","277","277","0.4625726640224457","0.4625726640224457","0.4625726640224457"
"46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284","284","284","0.34409064054489136","0.34409064054489136","0.34409064054489136"
"47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289","289","289","0.39204463362693787","0.39204463362693787","0.39204463362693787"
"48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296","296","296","0.3824555575847626","0.3824555575847626","0.3824555575847626"
"49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303","303","303","0.923819363117218","0.923819363117218","0.923819363117218"
"50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","308","308","308","0.5119902491569519","0.5119902491569519","0.5119902491569519"
"51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315","315","315","0.4063534438610077","0.4063534438610077","0.4063534438610077"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320","320","320","0.36446118354797363","0.36446118354797363","0.36446118354797363"
"53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","327","327","327","0.3370313048362732","0.3370313048362732","0.3370313048362732"
"54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332","332","332","0.3050473630428314","0.3050473630428314","0.3050473630428314"
"55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","339","339","339","0.34289154410362244","0.34289154410362244","0.34289154410362244"
"56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","344","344","344","0.27122020721435547","0.27122020721435547","0.27122020721435547"
"57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","351","351","351","0.2804231345653534","0.2804231345653534","0.2804231345653534"
"58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","356","356","356","0.27168959379196167","0.27168959379196167","0.27168959379196167"
"59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","363","363","363","0.3013473153114319","0.3013473153114319","0.3013473153114319"
"60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","368","368","368","0.4187353849411011","0.4187353849411011","0.4187353849411011"
"61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","375","375","375","0.3149009644985199","0.3149009644985199","0.3149009644985199"
"62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","382","382","382","0.33291780948638916","0.33291780948638916","0.33291780948638916"
"63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","387","387","387","0.2636478543281555","0.2636478543281555","0.2636478543281555"
"64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","394","394","394","0.23761388659477234","0.23761388659477234","0.23761388659477234"
"65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","399","399","399","0.28806072473526","0.28806072473526","0.28806072473526"
"66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","406","406","406","0.2562296390533447","0.2562296390533447","0.2562296390533447"
"67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","411","411","411","0.3045938313007355","0.3045938313007355","0.3045938313007355"
"68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","418","418","418","0.2333267629146576","0.2333267629146576","0.2333267629146576"
"69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","423","423","423","0.22684678435325623","0.22684678435325623","0.22684678435325623"
"70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","430","430","430","0.22369080781936646","0.22369080781936646","0.22369080781936646"
"71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","435","435","435","0.2537766396999359","0.2537766396999359","0.2537766396999359"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","442","442","442","0.2348930686712265","0.2348930686712265","0.2348930686712265"
"73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","447","447","447","0.21821241080760956","0.21821241080760956","0.21821241080760956"
"74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","454","454","454","0.19687092304229736","0.19687092304229736","0.19687092304229736"
"75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","461","461","461","0.20966371893882751","0.20966371893882751","0.20966371893882751"
